danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,like,track_name
0.563,0.827,2,-3.532,1,0.0292,0.102,0.0,0.074,0.861,132.269,audio_features,1bxsYulIYXmVSgrX8nOQZ2,spotify:track:1bxsYulIYXmVSgrX8nOQZ2,https://api.spotify.com/v1/tracks/1bxsYulIYXmVSgrX8nOQZ2,https://api.spotify.com/v1/audio-analysis/1bxsYulIYXmVSgrX8nOQZ2,188467,4,1,Funny Little Frog
0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,audio_features,2g7gviEeJr6pyxO7G35EWQ,spotify:track:2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/tracks/2g7gviEeJr6pyxO7G35EWQ,https://api.spotify.com/v1/audio-analysis/2g7gviEeJr6pyxO7G35EWQ,508333,4,1,Paradise By the Dashboard Light
0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,audio_features,2xYlyywNgefLCRDG8hlxZq,spotify:track:2xYlyywNgefLCRDG8hlxZq,https://api.spotify.com/v1/tracks/2xYlyywNgefLCRDG8hlxZq,https://api.spotify.com/v1/audio-analysis/2xYlyywNgefLCRDG8hlxZq,197813,4,1,"Take Me Home, Country Roads - Rerecorded"
0.634,0.599,2,-5.447,1,0.0365,0.0288,0.0,0.197,0.312,112.215,audio_features,2fyIS6GXMgUcSv4oejx63f,spotify:track:2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/tracks/2fyIS6GXMgUcSv4oejx63f,https://api.spotify.com/v1/audio-analysis/2fyIS6GXMgUcSv4oejx63f,175440,4,1,Mardy Bum
0.287,0.721,9,-5.81,1,0.0387,0.00764,0.0,0.328,0.763,169.252,audio_features,5bsnLiT00hG37qd8p2jdVl,spotify:track:5bsnLiT00hG37qd8p2jdVl,https://api.spotify.com/v1/tracks/5bsnLiT00hG37qd8p2jdVl,https://api.spotify.com/v1/audio-analysis/5bsnLiT00hG37qd8p2jdVl,197973,4,1,Cornerstone
0.632,0.807,0,-5.893,1,0.126,0.144,0.0211,0.125,0.784,160.174,audio_features,3bfVjyBYbKposaa6JUUYbD,spotify:track:3bfVjyBYbKposaa6JUUYbD,https://api.spotify.com/v1/tracks/3bfVjyBYbKposaa6JUUYbD,https://api.spotify.com/v1/audio-analysis/3bfVjyBYbKposaa6JUUYbD,197933,4,1,Humility (feat. George Benson)
0.339,0.932,4,-5.017,1,0.057,0.00105,0.114,0.255,0.586,128.291,audio_features,0LxeKwg9t7HOnyfv4bTALT,spotify:track:0LxeKwg9t7HOnyfv4bTALT,https://api.spotify.com/v1/tracks/0LxeKwg9t7HOnyfv4bTALT,https://api.spotify.com/v1/audio-analysis/0LxeKwg9t7HOnyfv4bTALT,225987,4,1,Suck It and See
0.349,0.662,11,-6.873,1,0.0402,0.00197,0.908,0.136,0.554,169.926,audio_features,0S6CXA5LpRDX6b4akgrOot,spotify:track:0S6CXA5LpRDX6b4akgrOot,https://api.spotify.com/v1/tracks/0S6CXA5LpRDX6b4akgrOot,https://api.spotify.com/v1/audio-analysis/0S6CXA5LpRDX6b4akgrOot,191427,4,1,Love is a Laserquest
0.585,0.694,2,-6.632,1,0.0392,0.00037,0.0144,0.0724,0.785,127.966,audio_features,1bXLpqe49cqEpj88uPR4pu,spotify:track:1bXLpqe49cqEpj88uPR4pu,https://api.spotify.com/v1/tracks/1bXLpqe49cqEpj88uPR4pu,https://api.spotify.com/v1/audio-analysis/1bXLpqe49cqEpj88uPR4pu,162747,4,1,Reckless Serenade
0.395,0.859,9,-3.851,1,0.0409,0.00201,0.245,0.1,0.511,136.071,audio_features,6kBcOJL8iGCRkYLBor1F4l,spotify:track:6kBcOJL8iGCRkYLBor1F4l,https://api.spotify.com/v1/tracks/6kBcOJL8iGCRkYLBor1F4l,https://api.spotify.com/v1/audio-analysis/6kBcOJL8iGCRkYLBor1F4l,208133,5,1,Razorblade
