id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,like
4UeSleTsjljEIdEGRdVggm,Lihue,0.596,0.558,2,-13.508,0,0.0576,0.571,0.0587,0.105,0.56,93.706,4,1
64toSnvjyXFlrUWygc6Ofs,Blasphémie,0.546,0.578,10,-8.631,1,0.0346,0.109,0.111,0.21,0.38,138.007,3,1
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,0.668,0.628,8,-4.692,1,0.046,0.129,0.0,0.0293,0.568,140.053,4,0
5OJbBrGPY4scEGwMysuyLb,Sicko Drop,0.838,0.711,0,-5.487,1,0.0855,0.0251,0.769,0.0961,0.291,123.985,4,0
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,4,0
5EAPbYyAnuOUG4EICxgBlU,So Nice So Smart,0.487,0.289,4,-15.766,1,0.034,0.828,9.29e-06,0.0902,0.22,108.131,4,1
3AXryyinIY17WLddIcNjwT,TTYL,0.593,0.97,1,-1.801,0,0.0602,0.0309,1.43e-05,0.273,0.891,144.018,4,0
51R2M1JgyFfRS3e6v5wCt3,Clandestino,0.68,0.594,6,-6.417,0,0.0688,0.469,0.0,0.431,0.774,85.04,4,1
4hmbwcUs392W3YQzpO0fcj,Notion,0.504,0.422,4,-6.58,0,0.0274,0.391,0.00877,0.184,0.0735,121.979,4,1
5tyznRXlcIx0XlQ7S8iCMW,Love,0.692,0.512,6,-8.596,1,0.0354,0.208,0.000994,0.077,0.739,79.003,4,1
0Fg5Ml68YY2mI6thjyvzcK,Casa Sola,0.816,0.791,2,-6.842,0,0.0472,0.143,0.0,0.219,0.637,97.943,4,0
5QpkOt3hpNf4zns6FJ7JRH,Chevrolet Van,0.577,0.81,4,-5.822,0,0.0412,0.0138,8.41e-05,0.267,0.76,118.352,4,1
2SSBJhvMsujY94GK5JAtKs,Buena,0.566,0.494,10,-12.242,0,0.0619,0.106,0.179,0.133,0.591,96.641,4,1
5WbfFTuIldjL9x7W6y5l7R,Kingston,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,4,1
3QFInJAm9eyaho5vBzxInN,family ties (with Kendrick Lamar),0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,134.093,4,0
2sHFd48VMnInguyfh3K9jT,Inhaler,0.369,0.925,11,-3.854,0,0.0621,0.00128,3.19e-05,0.0849,0.538,161.964,4,1
0xRDqhYsCW6F9LM4s7gY5z,Macho Man,0.708,0.805,5,-9.103,1,0.0612,0.0472,0.0,0.0867,0.776,133.419,4,0
0wXuerDYiBnERgIpbb3JBR,Redbone,0.743,0.344,1,-11.174,1,0.118,0.169,0.00879,0.103,0.577,160.15,4,1
5WVZfMIrS6hbvwG8hpRHCR,Me Pones en Tensión,0.877,0.768,11,-6.962,0,0.0593,0.0376,1.01e-06,0.0491,0.856,93.991,4,0
5WrPfXA4QjfJ1rT0DCjChU,Punchin' Bag - Unpeeled,0.551,0.799,2,-5.797,1,0.0569,0.292,0.0,0.702,0.726,74.819,4,1
48QKmWiimc2IB0zlw8REpS,Mantra,0.501,0.412,8,-13.727,1,0.108,0.449,0.00313,0.121,0.364,124.021,4,1
2NMyqZJSAwiCh9p2UdLeYM,Los Consejos,0.66,0.632,3,-5.7,1,0.034,0.53,0.0,0.152,0.904,102.2,3,0
7kaFsQygyiCqRboWCXztxZ,Do It Like That,0.772,0.921,5,-3.221,0,0.0531,0.0103,0.0,0.334,0.842,119.992,4,0
0k2JbfyqtVhiLqGgNuwQGX,Shooting Star,0.506,0.638,9,-4.722,1,0.206,0.0941,0.0,0.0572,0.623,178.079,4,0
30Z3MjFHUFV5SFf2ICInB7,Miss Honolulu,0.616,0.867,7,-6.743,1,0.0476,0.416,8.92e-05,0.114,0.825,101.047,4,1
1NUdV2Lc7e2sbC14T7kG4q,The Homeless Wanderer,0.432,0.072,0,-22.419,0,0.0366,0.992,0.889,0.0941,0.208,65.451,3,1
2bJvI42r8EF3wxjOuDav4r,Time of Our Lives,0.721,0.802,1,-5.797,1,0.0583,0.0921,0.0,0.694,0.724,124.022,4,0
1oP0mCuXU7HpLMt4sAwjtD,El catrín,0.666,0.797,2,-9.06,1,0.0606,0.0321,9.82e-05,0.113,0.922,164.993,4,1
2hFX1UXWmd3GWJdSgGMVVw,Rock-A-Bye My Baby,0.607,0.2,11,-17.832,1,0.0443,0.879,0.11,0.102,0.272,107.891,4,1
6E9V9TRlVOLjenGjHemzEH,Hard To Love,0.638,0.722,9,-6.177,1,0.0332,0.0119,0.00808,0.189,0.469,103.017,4,0
5MNS5FF4LrTX0jIaI0gory,Triste,0.693,0.724,9,-5.379,1,0.109,0.403,0.0,0.0978,0.263,130.05,4,0
7lFgli7y2vo7sjgynHZzBP,Kickapoo,0.501,0.796,0,-4.599,1,0.104,0.107,0.000974,0.539,0.582,130.719,4,1
5zBO8f5BKQX4VNR3ILfDXk,Impossible,0.765,0.809,1,-4.325,0,0.0957,0.00538,6.53e-06,0.0721,0.813,128.007,4,0
2J194R0KIKbK7bTHfUHPDB,Boom Boom Bass,0.807,0.759,5,-4.24,0,0.0529,0.0194,9.1e-06,0.145,0.83,117.014,4,0
6ea3gVkbrhghwfoio3NFpi,En cambio no,0.536,0.378,0,-6.702,1,0.0266,0.53,0.0,0.115,0.147,133.858,4,0
2ABXGTrvPwT3wNsSGoNqDq,"Green Eyes, Pt. II",0.618,0.747,10,-14.586,0,0.122,0.129,3.87e-05,0.352,0.587,193.939,4,1
3TD0tKyCDk57yxFzMFAgXr,Papi Shampu,0.629,0.763,7,-5.572,1,0.0924,0.0831,0.00388,0.0455,0.886,94.009,4,0
1Jut9b05PUgor368DGmMax,Blue Rihanna,0.433,0.635,3,-7.358,1,0.0396,0.0991,1.55e-06,0.105,0.227,122.048,4,1
2h9qRt8R214yJEBfoPAv3B,Strangers,0.538,0.672,8,-4.061,1,0.0339,0.011,0.0,0.224,0.515,123.925,3,0
5KsTCkO7Ij2mAECpETsahk,Escape Velocity,0.337,0.743,9,-5.628,1,0.0353,0.000558,0.000304,0.109,0.36,140.042,4,1
1whuGreIX1sYRDeT28nhyp,Me Voy a Valparaíso,0.598,0.405,7,-11.452,1,0.0332,0.979,0.207,0.098,0.51,178.52,3,1
4bZd0nRuX8HyjeXAUBczvm,I Cry,0.693,0.822,4,-5.441,0,0.0439,0.00616,1.79e-06,0.315,0.763,126.035,4,0
5mLuPM0CpoXyrBncooRJZa,Quién Fuera,0.474,0.149,7,-18.635,1,0.044,0.876,0.0126,0.0919,0.482,157.134,4,1
7DcvwMAiqKJQD1rrdfxSDx,The London (feat. J. Cole & Travis Scott),0.796,0.586,4,-6.946,0,0.147,0.0247,0.0,0.132,0.179,97.981,4,0
1bQ6PfRm6CU5RpqRP6YV7A,El Amor Coloca,0.602,0.949,6,-4.637,0,0.0496,0.0553,1.26e-05,0.108,0.768,123.474,4,0
0IW5o61stoapSUdEFV9xn6,Thoughtful Distress (feat. Matt Helders & Steve Stevens),0.699,0.84,5,-3.84,0,0.0525,0.0102,0.157,0.0687,0.836,135.986,4,1
45xU99QgWETDFGhgivpYce,Te Vi Venir,0.588,0.342,4,-8.166,1,0.0347,0.868,0.0,0.119,0.454,135.847,4,0
05Of7K9iU5Oe6s19kWc0xc,Here I Go,0.474,0.337,9,-16.869,1,0.041,0.477,0.0,0.34,0.739,128.657,4,1
2lffRiAET2Xt6BNb4EmkS2,80's Comedown Machine,0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,4,1
29tudnbTiGFQFcAemVIXlz,The Pi Song (100 Digits of Π),0.571,0.619,0,-6.108,0,0.0719,0.788,0.0,0.579,0.924,149.043,4,1
3Xq7YleGkp9Gu6Fj8Gpurp,El Tamarindo,0.657,0.679,10,-4.266,1,0.266,0.415,0.0,0.338,0.904,164.824,3,0
2COizGXKn3n8XQ1gkIhiqy,Diamonds Are Forever,0.307,0.639,11,-5.441,0,0.0303,0.0605,5.3e-06,0.107,0.294,106.181,4,1
4SYjzX3PaRgTxPlwI9lAJx,Cucurrucucu Paloma,0.512,0.307,3,-11.154,1,0.0273,0.619,0.000144,0.284,0.441,105.689,3,0
4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),0.429,0.453,0,-7.746,1,0.0459,0.554,2e-06,0.102,0.155,77.639,4,0
41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,0.9,0.603,2,-5.313,1,0.0646,0.402,4.81e-06,0.134,0.824,129.928,4,0
587pEvJ7iJhNtcCf5YKEgE,Tal Vez Fui Yo,0.583,0.774,5,-5.326,1,0.0337,0.195,0.0,0.258,0.685,119.795,3,0
30i8eVYHPnyiz6Y1XhBjZJ,Honey I Sure Miss You,0.413,0.636,0,-9.711,1,0.036,0.194,0.00584,0.139,0.535,124.68,4,1
1k1Bqnv2R0uJXQN4u6LKYt,Ain't No Sunshine,0.527,0.415,4,-11.451,0,0.122,0.457,1.72e-05,0.117,0.515,78.169,4,1
1aOxOpH4AkGAd8OMrKjyNY,Why Are Sundays So Depressing,0.579,0.714,0,-4.455,1,0.0347,0.00258,0.0269,0.111,0.299,109.971,4,1
3Om8AyxxhSpTAHQIfmmfpi,trampoline,0.523,0.825,8,-3.414,0,0.255,0.298,0.0,0.314,0.931,201.796,4,0
753EklH444D0oZj4ClafLc,Time For Slurp,0.563,0.678,2,-9.265,1,0.0386,0.105,0.43,0.145,0.281,149.076,4,1
3JM5u17oBXiwif2EG9pKXv,PISSED OFF,0.863,0.6,8,-6.215,0,0.175,0.0197,0.00591,0.112,0.28,139.953,4,0
5c2GGeTb04EqiYksmQYf3i,Way Out,0.32,0.359,3,-13.092,1,0.0657,0.928,0.878,0.121,0.141,176.757,4,1
0oo2XbNe3V579tgoItf8tz,Furious,0.811,0.463,7,-12.84,0,0.227,0.694,0.574,0.0939,0.846,172.065,4,1
